1	2006	
2	2007	
3	2008	
4	2009	6
5	2010	
6	2011	
7	2012	
8	2101	
9	2102	
10	2103	
11	2104	
12	2105	
13	2106	24
14	2107	
15	2108	
16	2109	
17	2110	
18	2111	
19	2112	64
20	2201	
21	2202	
22	2203	
23	2204	
24	2205	
25	2206	121
26	2207	
27	2208	
28	2209	
29	2210	
30	2211	
31	2212	256
32	2301	
33	2302	
34	2303	
35	2304	
36	2305	
37	2306	484
38	2307	
39	2308	
40	2309	
41	2310	
42	2311	
43	2312	
44	2401	
45	2402	
46	2403	
47	2404	
48	2405	
49	2406	
50	2407	
51	2408	
52	2409	
53	2410	
54	2411	
55	2412	
56	2501	
57	2502	
58	2503	
59	2504	
60	2505	
61	2506	
62	2507	
63	2508	
64	2509	
65	2510	
66	2511	
67	2512	1024
68	2601	
69	2602	
70	2603	
71	2604	
72	2605	
73	2606	
